1,2020,129931,7,9.4,8.7,8.1,11.6,16.5,12.2,15.3,8,10.3,67521,97026,2.53
2,2019,128451,7,8.9,8,8.3,11.6,16.5,12.2,15.7,8.4,10.5,69560,99312,2.52
3,2018,128579,7,10,8.7,8.4,12,16.9,12.5,15.1,7.3,9,65127,92796,2.53
4,2017,127586,7,10,9.1,9.1,11.9,16.2,12.4,15.1,7.5,8.8,64806,91044,2.54
5,2016,126224,7,10.2,9.1,9.1,12.3,16.3,12.5,15,7.4,8.2,63683,89683,2.53
6,2015,125819,7,10.5,9.7,9.7,11.9,16.2,12.4,15,7.2,7.4,61748,86601,2.54
7,2014,124587,7,11.3,10.1,9.5,12.6,16.5,12.1,14.1,6.7,7,58725,82892,2.54
8,2013,122952,7,11.2,10.4,9.7,12.3,17.5,12.4,13.9,6.4,6.2,57808,80849,2.54
9,2012,122459,7,11.3,10.5,9.9,12.6,17.2,12.2,14,6.3,6.1,57623,80503,2.55
10,2011,121084,7,11.2,10.3,10.1,13.1,17.1,11.9,13.9,6.3,6,57732,80366,2.58
11,2010,119927,7,11.1,10.6,9.4,13.1,16.8,12.2,14.3,6.3,6.1,58627,80180,2.59
12,2009,117538,7,10.3,9.9,9.4,13.4,17.3,12.5,14.5,6.5,6.2,60200,82210,2.57
13,2008,117181,7,10.3,9.8,9.5,13.1,17.1,12.4,15.1,6.5,6.2,60624,82464,2.56
14,2007,116783,7,9.5,9.6,9.4,12.1,17.4,12.8,15.6,7,6.6,62865,84611,2.56
15,2006,116011,7,9.5,9.4,9.4,12.7,17.6,12.7,15.2,6.8,6.7,62033,85673,2.57
16,2005,114384,7,10,9.5,9.6,12.5,17.6,13,14.9,6.5,6.4,61553,84164,2.57
17,2004,113343,7,10,9.7,9.8,12.7,17.1,12.9,15.1,6.5,6.2,60901,83062,2.57
18,2003,112000,7,10.1,9.7,9.1,12.9,17.3,12.6,15.5,6.5,6.3,61113,83332,2.57
19,2002,111278,7,9.8,9.7,9.1,12.8,17.5,12.7,15.8,6.5,6.1,61190,83472,2.58
20,2001,109297,7,9.5,9.6,8.7,13.1,17.6,12.8,15.8,6.4,6.4,61889,85309,2.58
21,2000,108209,7,8.9,9.4,8.8,13.1,17.2,13.6,15.5,7.1,6.4,63292,86120,2.62
22,1999,106434,7,8.9,9.5,9.1,12.9,17.4,13.4,15.6,6.7,6.5,63423,85306,2.61
23,1998,103874,7,9.6,9.8,8.9,13.1,17.4,13.7,15.4,6.4,5.7,61891,82535,2.62
24,1997,102528,7,10.1,10,9.5,12.8,18.1,13.2,14.9,6,5.3,59697,80163,2.64
25,1996,101018,7,10.4,10.5,9.5,13.4,17.8,13.5,14.7,5.6,4.7,58494,77662,2.65
26,1995,99627,7,10.3,10.4,10.1,13.1,18.8,13.2,14.4,5.3,4.5,57655,76034,2.65
27,1994,98990,7,11.2,10.7,10,13.3,18.5,12.7,14.2,5.2,4.4,55905,74738,2.67
28,1993,97107,7,11.6,10.6,9.7,14,18.5,13,13.6,5.2,4,55263,73282,2.66
29,1992,96426,7,11.7,10.5,10,13.5,18.8,13.4,13.7,4.9,3.5,55559,70437,2.62
30,1991,95669,7,11.4,10.1,9.6,13.9,19.2,13.4,13.9,5,3.4,55992,70482,2.63
31,1990,94312,7,10.9,9.9,9.7,13.5,19.5,13.8,14.1,4.9,3.8,57677,72047,2.63
32,1989,93347,7,10.6,9.9,9.5,13,19.3,13.8,14.6,5.3,4,58425,73815,2.62
33,1988,92830,7,11.3,9.6,9.9,13,19.2,14.1,14.4,4.8,3.7,57433,71761,2.64
34,1987,91124,7,11.4,9.9,9.7,13.4,19.1,14.2,14.2,4.8,3.4,56964,70841,2.66
35,1986,89479,7,11.8,9.9,9.8,13.6,19.2,14.1,13.8,4.5,3.2,56291,69545,2.67
36,1985,88458,7,11.9,10.3,10.2,14,19.8,13.7,13.3,4,2.7,54334,66868,2.69
37,1984,86789,7,12,10.8,10.1,14.5,19.8,13.6,12.9,3.9,2.5,53337,65351,2.71
38,1983,85407,7,12.5,10.8,10.6,14.6,20.1,13.5,12.2,3.5,2.3,51764,62957,2.73
39,1982,83918,7,12.5,10.7,10.8,14.4,20.7,13.4,12,3.4,2.2,52130,62824,2.72
40,1981,83527,7,12.2,10.8,10.9,14.3,20.4,14.1,12.1,3.3,1.9,52272,62447,2.73
41,1980,82368,7,11.9,10.7,10.2,14.5,20.8,14.4,12.1,3.4,1.9,53116,63172,2.76
42,1979,80776,7,11.6,10.1,10.1,13.9,20.8,14.9,12.8,3.5,2.3,54899,65214,2.78
43,1978,77330,7,11.4,10.4,10,14.2,20.9,14.9,12.7,3.3,2.1,55004,64738,2.81
44,1977,76030,7,11.7,11.2,10,14.5,21.1,14.8,11.9,2.9,1.9,52954,62818,2.86
45,1976,74142,7,11.8,11.1,10.2,14.7,21.6,14.6,11.5,2.6,1.8,52621,61896,2.89
46,1975,72867,7,12.2,11.2,10.3,15,22,14.2,11,2.5,1.6,51762,60444,2.94
47,1974,71163,7,11.6,10.6,9.9,15.2,21.9,15,11.3,2.8,1.7,53154,62160,2.97
48,1973,69859,7,11.4,10.6,9.5,14,22.1,15.1,12.1,3.1,2,54893,63483,3.01
49,1972,68251,7,12.2,10.3,9.9,14.5,22.4,14.8,11.3,2.9,1.9,53806,62623,3.06
50,1971,66676,7,13.1,10.1,10.5,15,23.6,13.9,10.1,2.3,1.5,51596,59340,3.11
51,1970,64778,7,13.1,9.9,9.7,15.5,23.9,14,10.2,2.3,1.5,52103,59662,3.14
52,1969,63401,7,12.9,9.6,9.6,15.3,24.1,14.9,9.8,2.3,1.4,52510,59740,3.19
53,1968,62214,7,13.2,10.1,10.2,16.4,24.6,14.1,8.5,1.9,1.2,50628,57278,3.23
54,1967,60813,7,14.5,10.2,10.5,17,24.7,12.2,7.9,1.7,1.3,48537,54285,3.28
